Individual,Morph,Start  date,Event ,Cell,Date,Day,Sex,Clutch,Cohort,Combi_cohort,
DA 1,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,iridophores 4-5,Iridophore,07/07/2022,0,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,associations 3-5,Iridophore,12/07/2022,5,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,first aggregates,Iridophore,12/07/2022,5,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,12/07/2022,5,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,associations at second,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,second aggregates ,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,associations at edge,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,edge aggregates,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,second aggregation resolves,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,first spot ring clear,None,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,second spot ring clear,None,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,edge spot ring clear,None,,,F,Madingley,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,iridophores 4-5,Iridophore,17/07/2022,10,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,associations 3-5,Iridophore,01/08/2022,25,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,first aggregates,Iridophore,22/07/2022,15,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,11/08/2022,35,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,16/09/2022,71,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,associations at second,Iridophore,28/09/2022,83,M,omb,b socialised_deep,socialised,
DA_2,Benthic,07/07/2022,second aggregates ,Iridophore,07/10/2022,92,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,16/09/2022,71,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,associations at edge,Iridophore,28/09/2022,83,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,edge aggregates,Iridophore,17/10/2022,102,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,first aggregation resolves,Iridophore,02/10/2022,87,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,second aggregation resolves,Iridophore,17/10/2022,102,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,first spot ring clear,None,25/11/2022,141,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,second spot ring clear,None,,,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,edge spot ring clear,None,17/10/2022,102,M,omb,b socialised_deep,socialised,
